lead_id,client_id,fecha_lead,canal_origen,hora_lead,dia_semana,has_vtex,producto_visto,cat_producto,punto_abandono,tiempo_pagina_s,paginas_sesion,uso_comparador,items_carrito,sesiones_72h,device,source_medium,convertido,prob_conv_true
lead_000000,GA4_9746564,2025-11-24,whatsapp_inbound,13,5,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,0,0.6799
lead_000001,GA4_6716146,2025-02-27,boton_ayuda,12,1,1,Plan Hogar,internet_hogar,add_to_cart,16,5,0,1,1,desktop,google_cpc,0,0.3062
lead_000002,GA4_3684813,2025-01-13,formulario_web,9,3,1,Plan 20GB,plan_movil,begin_checkout,61,4,1,2,3,mobile,facebook_ads,1,0.9767
lead_000003,GA4_1392951,2025-05-21,formulario_web,17,4,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.4442
lead_000004,GA4_1467937,2025-05-06,whatsapp_inbound,15,4,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.4274
lead_000005,GA4_5340101,2025-04-25,whatsapp_inbound,20,6,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,0,0.6988
lead_000006,GA4_5049009,2025-03-13,whatsapp_inbound,3,2,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,0,0.4249
lead_000007,GA4_6099302,2025-02-22,boton_ayuda,18,5,1,Plan 10GB,plan_movil,add_to_cart,35,5,0,1,2,mobile,facebook_ads,1,0.72
lead_000008,GA4_8092498,2025-12-13,formulario_web,19,0,1,Samsung A55,equipo,view_item,23,12,0,0,2,mobile,google_organic,1,0.5659
lead_000009,GA4_9477100,2025-10-07,formulario_web,19,2,1,Plan 50GB,plan_movil,add_to_cart,97,4,0,1,0,desktop,facebook_ads,1,0.8432
lead_000010,GA4_2852907,2025-02-14,whatsapp_inbound,20,6,1,Samsung A55,equipo,begin_checkout,30,10,0,1,1,mobile,email_claro,1,0.8769
lead_000011,GA4_2005722,2025-10-30,boton_ayuda,19,0,1,Plan 10GB,plan_movil,add_to_cart,41,7,0,1,0,mobile,facebook_ads,0,0.4748
lead_000012,GA4_7257547,2025-08-05,boton_ayuda,21,5,1,Samsung A55,equipo,view_item,31,3,0,0,0,mobile,google_cpc,0,0.3978
lead_000013,GA4_5357990,2025-01-17,whatsapp_inbound,12,2,1,Plan 10GB,plan_movil,begin_checkout,74,6,0,1,5,mobile,google_organic,1,0.9913
lead_000014,GA4_9514426,2025-01-16,whatsapp_inbound,15,2,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.5268
lead_000015,GA4_6947075,2025-02-17,whatsapp_inbound,1,4,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,0,0.5522
lead_000016,GA4_3077237,2025-04-22,whatsapp_inbound,0,0,1,Plan 10GB,plan_movil,view_item,14,10,0,0,0,mobile,google_organic,0,0.537
lead_000017,GA4_1800824,2025-04-30,formulario_web,10,1,1,Plan 50GB,plan_movil,begin_checkout,121,6,0,2,1,desktop,email_claro,1,0.6315
lead_000018,GA4_3092954,2025-09-16,formulario_web,7,1,1,Plan 50GB,plan_movil,begin_checkout,99,4,0,1,4,desktop,directo,1,0.9135
lead_000019,GA4_8528555,2025-11-05,whatsapp_inbound,11,2,1,iPhone 15,equipo,view_item,28,4,0,0,2,mobile,email_claro,0,0.5843
lead_000020,GA4_5998957,2025-01-14,formulario_web,9,5,1,Plan 50GB,plan_movil,view_item,53,5,0,0,0,mobile,google_cpc,0,0.4505
lead_000021,GA4_1087466,2025-10-15,whatsapp_inbound,2,2,1,Samsung A55,equipo,add_to_cart,35,8,0,3,1,mobile,google_organic,0,0.692
lead_000022,GA4_8602547,2025-04-12,whatsapp_inbound,21,6,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,0,0.7399
lead_000023,GA4_6687145,2025-11-29,whatsapp_inbound,0,4,1,Plan 20GB,plan_movil,add_to_cart,23,5,0,2,3,mobile,google_cpc,1,0.8404
lead_000024,GA4_4961055,2025-12-26,formulario_web,19,6,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.4822
lead_000025,GA4_9947098,2025-10-07,formulario_web,9,0,1,Plan 20GB,plan_movil,add_to_cart,79,5,1,1,1,mobile,directo,1,0.8106
lead_000026,GA4_4923148,2025-08-03,whatsapp_inbound,21,6,0,sin_dato,sin_dato,sin_sesion_vtex,0,0,0,0,0,mobile,directo,1,0.7425
lead_000027,GA4_6877681,2025-04-23,formulario_web,21,2,1,Plan 100GB,plan_movil,begin_checkout,5,2,0,1,1,desktop,facebook_ads,1,0.7398
lead_000028,GA4_6019770,2025-08-18,formulario_web,18,6,1,Plan 10GB,plan_movil,begin_checkout,96,5,0,1,2,mobile,whatsapp_link,1,0.9632
